Iteration,Latency_ns,MinorFaults,MajorFaults
0,1467,0,0
1,1466,0,0
2,1466,0,0
3,1397,0,0
4,1467,0,0
5,1885,0,0
6,1956,0,0
7,1466,0,0
8,1397,0,0
9,978,0,0
10,977,0,0
11,978,0,0
12,978,0,0
13,1467,0,0
14,1467,0,0
15,978,0,0
16,1397,0,0
17,1467,0,0
18,977,0,0
19,978,0,0
20,978,0,0
21,1466,0,0
22,1466,0,0
23,1466,0,0
24,1956,0,0
25,1467,0,0
26,978,0,0
27,1397,0,0
28,1466,0,0
29,1466,0,0
30,1396,0,0
31,1466,0,0
32,1886,0,0
33,1467,0,0
34,1466,0,0
35,1397,0,0
36,1467,0,0
37,977,0,0
38,1397,0,0
39,1397,0,0
40,1397,0,0
41,1467,0,0
42,1467,0,0
43,1396,0,0
44,978,0,0
45,1397,0,0
46,1397,0,0
47,1956,0,0
48,1466,0,0
49,978,0,0
50,1886,0,0
51,1397,0,0
52,1466,0,0
53,1466,0,0
54,908,0,0
55,1397,0,0
56,1397,0,0
57,1955,0,0
58,1397,0,0
59,978,0,0
60,908,0,0
61,1396,0,0
62,1397,0,0
63,1396,0,0
64,1466,0,0
65,1397,0,0
66,1396,0,0
67,1467,0,0
68,1396,0,0
69,1467,0,0
70,1396,0,0
71,1467,0,0
72,1466,0,0
73,1816,0,0
74,1397,0,0
75,1955,0,0
76,1397,0,0
77,1466,0,0
78,1955,0,0
79,1397,0,0
80,1397,0,0
81,978,0,0
82,1467,0,0
83,1467,0,0
84,1397,0,0
85,1467,0,0
86,1397,0,0
87,1467,0,0
88,1467,0,0
89,1466,0,0
90,1467,0,0
91,1397,0,0
92,1397,0,0
93,1397,0,0
94,908,0,0
95,1467,0,0
96,1816,0,0
97,977,0,0
98,1397,0,0
99,1397,0,0
100,1397,0,0
101,1396,0,0
102,1466,0,0
103,1467,0,0
104,978,0,0
105,907,0,0
106,1397,0,0
107,1886,0,0
108,1397,0,0
109,978,0,0
110,1466,0,0
111,1467,0,0
112,1397,0,0
113,1397,0,0
114,978,0,0
115,1467,0,0
116,1466,0,0
117,1466,0,0
118,1397,0,0
119,1466,0,0
120,1467,0,0
121,978,0,0
122,1467,0,0
123,1397,0,0
124,1466,0,0
125,1397,0,0
126,1466,0,0
127,1886,0,0
128,1886,0,0
129,1396,0,0
130,1467,0,0
131,908,0,0
132,1397,0,0
133,1467,0,0
134,1397,0,0
135,1397,0,0
136,978,0,0
